         871 function calls (854 primitive calls) in 0.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.006    0.003    0.006    0.003 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.005    0.005 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/_methods.py:101(_mean)
        1    0.001    0.001    0.003    0.003 /var/folders/52/y7hxdy6x453211drrw02dllh0000gn/T/ipykernel_41140/3963380306.py:33(build_fast)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/numpy/lib/arraysetops.py:138(unique)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:2177(sum)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:845(writeout_cache)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:833(_writeout_input_cache)
        2    0.001    0.000    0.001    0.000 {method '__exit__' of 'sqlite3.Connection' objects}
        1    0.001    0.001    0.001    0.001 {method 'sort' of 'numpy.ndarray' objects}
       57    0.001    0.000    0.001    0.000 {resize}
        3    0.000    0.000    0.001    0.000 {method 'run' of '_contextvars.Context' objects}
        3    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/ioloop.py:750(_run_callback)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:694(<lambda>)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:583(_handle_events)
      3/1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:1962(_run_once)
      4/1    0.001    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:87(_run)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
