         696890 function calls (696876 primitive calls) in 0.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16441    0.004    0.000    0.082    0.000 {method 'mean' of 'numpy.ndarray' objects}
    16441    0.027    0.000    0.078    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/_methods.py:101(_mean)
    58368    0.016    0.000    0.070    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:2177(sum)
    58368    0.020    0.000    0.050    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    74809    0.041    0.000    0.041    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       57    0.000    0.000    0.023    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:940(convert)
      111    0.000    0.000    0.018    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:177(load)
       57    0.000    0.000    0.014    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:3375(open)
       57    0.013    0.000    0.013    0.000 {method 'decode' of 'ImagingDecoder' objects}
    32892    0.004    0.000    0.013    0.000 {built-in method builtins.next}
    16443    0.003    0.000    0.010    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:145(__exit__)
    16441    0.007    0.000    0.009    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
     2130    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
    16443    0.002    0.000    0.008    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:136(__enter__)
    32882    0.004    0.000    0.008    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
    16443    0.003    0.000    0.007    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:303(helper)
92074/92068    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     1083    0.001    0.000    0.005    0.000 {built-in method numpy.array}
       57    0.004    0.000    0.004    0.000 {resize}
       57    0.000    0.000    0.004    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:3448(_open_core)
    16443    0.003    0.000    0.004    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:108(__init__)
       57    0.000    0.000    0.004    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:732(__array_interface__)
       57    0.000    0.000    0.003    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:772(tobytes)
        1    0.000    0.000    0.003    0.003 /opt/anaconda3/lib/python3.13/site-packages/decorator.py:229(fun)
    58368    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
       57    0.000    0.000    0.003    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:828(jpeg_factory)
       57    0.000    0.000    0.003    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:109(__init__)
       57    0.000    0.000    0.003    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:384(load_read)
       57    0.001    0.000    0.003    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:331(_open)
       57    0.000    0.000    0.002    0.000 /opt/anaconda3/lib/python3.13/posixpath.py:391(realpath)
      206    0.002    0.000    0.002    0.000 {method 'encode' of 'ImagingEncoder' objects}
    58368    0.002    0.000    0.002    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
    16441    0.002    0.000    0.002    0.000 {method 'set' of '_contextvars.ContextVar' objects}
    16441    0.002    0.000    0.002    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       54    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:1265(copy)
       57    0.001    0.000    0.001    0.000 {built-in method _io.open}
       54    0.001    0.000    0.001    0.000 {method 'copy' of 'ImagingCore' objects}
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:55(only_when_enabled)
        1    0.000    0.000    0.001    0.001 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:845(writeout_cache)
    16498    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      114    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
    16441    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
    16564    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    16444    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       57    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      111    0.001    0.000    0.001    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:224(DQT)
       57    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:424(_getdecoder)
       57    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:316(load_prepare)
        3    0.000    0.000    0.001    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:87(_run)
        3    0.000    0.000    0.001    0.000 {method 'run' of '_contextvars.Context' objects}
       57    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.new}
       57    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.jpeg_decoder}
       57    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
      3/1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:1962(_run_once)
      279    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:58(Skip)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/kernelbase.py:302(poll_control_queue)
     1293    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/_binary.py:90(i16be)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:63(APP)
